iteration,cost,best_cost,survived_frac,mean_abs_x,mean_abs_theta,mean_abs_x_dot,mean_abs_theta_dot,mean_abs_u,settle_abs_x,settle_abs_theta,kp_theta,ki_theta,kd_theta,kp_x,ki_x,kd_x
0,2.159014,2.159014,1.0000,0.017295,0.001127,0.009163,0.002571,0.019544,0.002879,0.000006,42.000000,0.250000,9.000000,2.800000,0.040000,3.200000
1,2.205009,2.159014,1.0000,0.020077,0.001068,0.008723,0.002322,0.020078,0.003294,0.000016,54.000000,0.250000,9.000000,2.800000,0.040000,3.200000
2,2.067955,2.067955,1.0000,0.016851,0.001120,0.009100,0.002572,0.019466,0.001741,0.000005,42.000000,0.500000,9.000000,2.800000,0.040000,3.200000
3,1.970876,1.970876,1.0000,0.018229,0.001192,0.009706,0.002392,0.018212,0.002055,0.000005,42.000000,0.500000,12.000000,2.800000,0.040000,3.200000
4,2.026370,1.970876,1.0000,0.012237,0.001230,0.009571,0.002879,0.019639,0.000624,0.000001,42.000000,0.500000,12.000000,4.200000,0.040000,3.200000
5,2.274148,1.970876,1.0000,0.019980,0.001223,0.009952,0.002399,0.018551,0.005714,0.000016,42.000000,0.500000,12.000000,2.800000,0.080000,3.200000
6,2.036359,1.970876,1.0000,0.019478,0.001156,0.009330,0.002488,0.018768,0.002092,0.000017,42.000000,0.500000,12.000000,2.800000,0.040000,4.400000
7,2.059645,1.970876,1.0000,0.021790,0.001185,0.009600,0.002340,0.017839,0.003451,0.000008,38.929437,0.627858,11.321712,2.358904,0.002799,2.944038
8,2.049707,1.970876,1.0000,0.018643,0.001199,0.009762,0.002391,0.018281,0.003034,0.000005,42.000000,0.287500,12.000000,2.800000,0.040000,3.200000
9,2.045545,1.970876,1.0000,0.017056,0.001129,0.009181,0.002528,0.019205,0.001788,0.000005,42.000000,0.500000,9.450000,2.800000,0.040000,3.200000
10,2.207851,1.970876,1.0000,0.029589,0.001253,0.010102,0.002029,0.018094,0.004974,0.000105,42.000000,0.500000,12.000000,1.610000,0.040000,3.200000
11,1.953046,1.953046,1.0000,0.019086,0.001167,0.009505,0.002386,0.017944,0.001862,0.000004,42.000000,0.500000,12.000000,2.800000,0.006000,3.200000
12,1.930943,1.930943,1.0000,0.017786,0.001210,0.009928,0.002345,0.017679,0.001825,0.000000,42.000000,0.500000,12.000000,2.800000,0.006000,2.180000
13,1.896076,1.896076,1.0000,0.020533,0.001122,0.009346,0.002072,0.017469,0.001764,0.000002,53.341557,0.500000,12.000000,2.800000,0.006000,2.180000
14,1.945486,1.896076,1.0000,0.018751,0.001322,0.010850,0.002177,0.018669,0.002079,0.000010,57.667853,0.720337,12.634702,3.269776,0.012301,0.480616
15,1.856722,1.856722,1.0000,0.021418,0.001175,0.009801,0.002057,0.016959,0.001741,0.000002,53.341557,0.500000,14.180890,2.800000,0.006000,2.180000
16,1.877859,1.856722,1.0000,0.018261,0.001177,0.009766,0.002191,0.017267,0.001526,0.000001,53.341557,0.500000,14.180890,3.312208,0.006000,2.180000
17,1.765938,1.765938,1.0000,0.020323,0.001187,0.009900,0.002060,0.017091,0.000579,0.000002,53.341557,0.500000,14.180890,2.800000,0.020416,2.180000
18,1.795444,1.765938,1.0000,0.020182,0.001366,0.011260,0.002120,0.018254,0.000716,0.000006,53.341557,0.500000,14.180890,2.800000,0.020416,0.713587
19,1.779966,1.765938,1.0000,0.022393,0.001136,0.009563,0.001924,0.017098,0.000664,0.000010,62.011557,0.500000,14.180890,2.800000,0.020416,2.180000
20,1.807710,1.765938,1.0000,0.020797,0.001182,0.009855,0.002061,0.017037,0.001112,0.000002,53.341557,0.680625,14.180890,2.800000,0.020416,2.180000
